"simphe_mean0_hSquare0.7_cv0.1_QTN1000_A100_D0_AA0_AD0_DA0_DD0_epoch1651079123","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A75_D25_AA0_AD0_DA0_DD0_epoch1651082360","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A50_D50_AA0_AD0_DA0_DD0_epoch1651086000","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A25_D75_AA0_AD0_DA0_DD0_epoch1651090574","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D100_AA0_AD0_DA0_DD0_epoch1651090574","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA34_AD0_DA0_DD0_epoch1651093758","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD34_DA0_DD0_epoch1651093758","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA0_DD34_epoch1651141113","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA11.3_AD11.3_DA0_DD11.3_epoch1651142778"
-5722.20279415213,1410.77828807731,-809.860392002859,-2877.36515692813,-3334.22262220002,2569.21701342174,347.774369535267,889.193871830771,-847.036060399083
-1685.18462796617,2369.03970740298,-1344.8172596472,-2396.35260318731,810.964311370871,-851.836153074919,-447.643272096058,488.362410279778,-143.493375170547
-2014.06019508107,818.610341035265,969.87373276461,-1479.95160020667,-1158.08083816714,2204.03828803207,-542.860302371192,-611.324307679949,-1313.48424338362
-1592.36157157669,722.127385760385,-1636.00971671923,2639.16412229957,1342.57668627205,2586.65796353667,-2259.42812810065,110.098345541469,-365.59492638428
-858.483179409041,6254.56841223958,-1913.44359833909,-578.540472841399,-1974.06782387391,14.6414818250443,918.190314284781,417.123089052506,-836.558355991607
-1982.42724874348,-742.397169082737,-1532.18715937174,753.566285636097,1020.93542795573,1778.26630669953,-242.420818690605,-1085.1121306167,170.946938168299
-5897.03380606721,5937.1322544678,-861.783276908331,256.075194634684,-667.429821482388,152.182715517496,-80.8403314068803,-651.650947815546,396.527905933743
-5168.98218937698,1287.64040574587,3063.10210682487,2388.19732653049,-2644.57501254519,2146.746761573,-157.276128677,61.3022171870506,216.369039309694
-2524.73087573468,-651.539717128153,-129.115150051702,-2507.45798929741,-1643.44427668018,621.907920639037,-735.392390517922,1696.83046044629,300.732312993184
-2866.14475210135,472.608189834103,682.391151392563,1113.08978161772,1069.20127844453,3041.88827539501,-775.347215039611,1096.20577885176,75.7491963810007
1903.96102016105,801.567971315167,600.695899293604,-361.944191587674,630.311378447343,2790.6847830331,-111.996404932762,-1691.51021759723,-252.446508938397
-4212.82468411992,1696.805419547,1437.71372442527,67.5005146566737,-3613.84545658522,416.548900432823,-1299.1544461947,525.430125810308,-104.085106164234
-4018.59682071368,2137.9488595475,-1552.63022286309,1842.18785729655,866.690053004426,1862.08525700817,-1714.89563262123,-1351.8814018739,-641.025021374924
-2171.53383937656,-1005.50194029419,465.722182778455,1184.70331764455,-1785.7671381066,2255.93421457809,-2269.35499954802,1617.52307469268,-468.834787077123
-456.566028908958,2417.62303318552,1063.59344182769,717.145739421434,1448.46883749843,1426.16398810023,-1525.15414279434,444.168712352803,325.314318660835
2679.22138419704,1547.62767998913,-952.62119997668,-1462.06209034357,-357.064914209148,854.669392620648,-566.86450648039,-1336.22492709916,976.856114443623
-2418.77066324455,6346.57839424164,-1693.85357406254,-626.504428710667,-1297.87344667223,2089.98520460618,-225.995613054064,1095.51005730687,-298.040020131742
-2616.92089101762,1756.25303124934,653.87332758289,1950.79579557095,328.079432286328,1379.57501307316,-1157.08234421446,873.315111952926,677.523477879091
-965.75587802747,3756.70366143939,-471.431200450495,201.24952313505,1452.84870063656,1985.64379532621,-39.6980340523767,-1598.45720762717,767.897850473857
-2713.91116998242,233.705352992622,-361.782833841508,1075.69029606062,-495.829677040386,-441.018360358182,-994.427508122785,720.259293776383,2102.84413950539
-1197.01600992891,1665.77326967057,-526.65693033935,1083.90910350254,2412.80085280248,257.671430465584,-577.470884765843,-2114.2775070535,-505.907089876125
1049.65416793564,2534.6335668419,-2221.26335321164,-429.915720811657,-1712.33764766055,896.412675934727,-351.288709498988,-37.474278709592,460.394541077207
142.470676772071,4229.26997647805,-2501.47887336107,-2272.81464441589,1389.59595270365,466.841800463491,-1009.5136681879,584.97887021143,248.599785162759
-634.55877094131,1462.83405231455,-670.415915224222,194.643800080447,1620.34171507734,2273.60770266621,-907.32096885157,814.800696845088,-427.455862227902
-3119.67716385555,-2271.48282225877,-408.412410472375,-890.54714876281,-654.104621987748,895.084117728285,-225.820424386714,-1884.70687482598,-182.809031235375
-1137.66041489628,3592.47269818374,-63.2878336448238,2031.08685732685,-1992.23866254217,2931.25554741841,-1358.78652976779,622.448206988629,1760.97113377864
-2103.25926538411,5405.52810924546,-935.457358168918,2047.35364987864,2413.79812973068,3221.09512167078,-2176.34016432759,38.4398543478807,-1086.20913345007
-4228.77735471832,2682.95953077616,-226.35174350097,1430.68733967609,241.680647868479,1511.38435189458,-1689.88198556886,-629.596576712538,916.608711863707
1296.3957205997,3695.99142450654,994.53459692216,-433.272850469044,-3443.18190860648,136.297467262434,-3249.71183160573,-343.828646610263,773.596077576565
-3784.503066587,2310.20581740102,1384.61796277573,-58.0564469855435,-689.130121130086,949.619181841673,-1595.03231130031,-388.963765986907,-1122.03843607312
-2295.50507442201,3541.52066938691,-3918.27632783072,-143.824973647259,263.898450262151,606.952051971055,-787.695109984463,482.791698075023,169.598248674025
2324.26899865057,1814.96986523853,-5167.45108073772,-3454.50698490886,-3637.11428187637,2604.13519296756,-1536.74870717354,539.962884441056,639.151550036428
-1955.63389606921,8220.95194782167,1342.10411431515,-2053.84587386942,-234.059691663189,458.080698731108,-2972.75686892164,296.792767264419,-331.670166897535
-70.199859936663,3325.44115643825,1160.18167438605,806.957379234037,970.049566875301,-790.543930834759,-840.412777908192,655.396329127599,485.947626276208
643.520884302187,-470.750573952155,-787.923893727538,-2480.92031986221,-232.643115955174,1779.86702922405,789.037422856082,-538.000258093042,1153.36836957695
2557.70831523901,3576.13324410955,779.397290557551,-2204.16873859622,-1821.94605889263,2037.28441887211,-1991.70305420066,1191.47900300828,184.269853160529
441.116387616473,2971.71009974075,2283.30746966465,-1282.17474142919,-512.750999330244,1998.6020874439,-953.359864096914,598.611749397598,-273.863702313
-1539.2311727463,3777.02666247777,563.461692551213,2220.85167424984,-2157.54164633275,159.808716596697,-922.482653246376,392.893398927375,-84.2762033930744
-3104.75378693253,4174.27012711561,-1190.97900429031,1510.06137319605,-1057.86467723239,1761.33499495967,-465.39106952303,429.545090820846,1229.1486123769
-3234.43381812405,844.148462841172,588.465751407943,-2085.98557310986,-339.778923830405,2599.10621513879,-598.613973275574,-341.129918712528,408.48735784523
-1262.68141979344,2834.85362060549,-1462.40303777616,-898.288118096417,4080.65806572355,526.94359999341,219.553177448653,994.71305031527,-601.636777979556
-1298.86693548057,4994.90401455246,-1677.29970368851,-2649.1970071454,-3742.04786731534,181.326347789225,-1465.57378563516,-1640.40114530216,-919.08124455182
-698.479090964919,3764.76732347337,-1037.43540456971,-88.4091818837198,1067.39066929407,1072.89914869135,-1563.98767499761,662.333150421365,729.564339901061
